date,open,high,low,close,volume
2009-01-01,7.8125,8.72249984741211,6.542500019073486,8.699999809265137,13929200.0
2009-02-01,8.47249984741211,10.157500267028809,7.960000038146973,8.837499618530273,32228000.0
2009-03-01,9.017499923706055,9.154999732971191,7.739999771118164,8.327500343322754,40234800.0
2009-04-01,8.517499923706055,8.517499923706055,7.320000171661377,7.702499866485596,23054800.0
2009-05-01,7.610000133514404,9.335000038146973,7.607500076293945,9.307499885559082,24562800.0
2009-06-01,9.375,9.449999809265137,8.104999542236328,8.319999694824219,25556800.0
2009-07-01,8.517499923706055,8.8125,7.885000228881836,8.675000190734863,19698400.0
2009-08-01,8.835000038146973,9.012499809265137,8.272500038146973,8.635000228881836,13646000.0
2009-09-01,8.637499809265137,9.899999618530273,8.585000038146973,9.632499694824219,17292800.0
2009-10-01,9.640000343322754,10.772500038146973,9.427499771118164,10.3125,21825600.0
2009-11-01,10.5024995803833,13.352499961853027,10.454999923706055,13.074999809265137,24947200.0
2009-12-01,13.432499885559082,13.9375,10.170000076293945,11.170000076293945,39435600.0
2010-01-01,11.680000305175781,12.47249984741211,10.682499885559082,10.842499732971191,18809600.0
2010-02-01,10.977499961853027,11.6899995803833,10.069999694824219,11.479999542236328,18145600.0
2010-03-01,11.5024995803833,12.0625,10.792499542236328,11.345000267028809,16782800.0
2010-04-01,11.550000190734863,12.739999771118164,11.547499656677246,12.670000076293945,16168000.0
2010-05-01,12.797499656677246,14.1899995803833,12.212499618530273,13.390000343322754,35222400.0
2010-06-01,13.619999885559082,14.407500267028809,12.970000267028809,13.957500457763672,20166000.0
2010-07-01,13.772500038146973,13.800000190734863,12.005000114440918,12.5024995803833,18738400.0
2010-08-01,12.637499809265137,13.954999923706055,12.470000267028809,13.930000305175781,10368000.0
2010-09-01,13.9399995803833,15.34000015258789,13.725000381469727,15.255000114440918,12475200.0
2010-10-01,15.449999809265137,16.917499542236328,15.337499618530273,16.329999923706055,21929600.0
2010-11-01,16.387500762939453,17.9375,15.5600004196167,16.912500381469727,26026800.0
2010-12-01,17.010000228881836,17.952499389648438,16.274999618530273,17.68000030517578,17920000.0
2011-01-01,17.657499313354492,17.732500076293945,14.960000038146973,15.447500228881836,21259200.0
2011-02-01,15.592499732971191,17.44499969482422,15.295000076293945,17.31999969482422,17298800.0
2011-03-01,17.517499923706055,18.174999237060547,16.655000686645508,17.782499313354492,27456000.0
2011-04-01,17.487499237060547,21.207500457763672,17.252500534057617,21.030000686645508,30362800.0
2011-05-01,20.799999237060547,21.360000610351562,18.375,20.229999542236328,43164000.0
2011-06-01,20.237499237060547,20.774999618530273,18.982500076293945,19.19499969482422,21422000.0
2011-07-01,18.897499084472656,22.69499969482422,18.670000076293945,22.487499237060547,27395200.0
2011-08-01,22.239999771118164,30.487499237060547,22.0575008392334,27.9950008392334,80081200.0
2011-09-01,27.885000228881836,30.584999084472656,20.774999618530273,21.837499618530273,49100000.0
2011-10-01,22.674999237060547,25.190000534057617,21.049999237060547,24.30500030517578,22200800.0
2011-11-01,23.362499237060547,26.667499542236328,22.735000610351562,24.982500076293945,22934000.0
2011-12-01,24.889999389648438,25.177499771118164,18.854999542236328,19.752500534057617,27094400.0
2012-01-01,20.46500015258789,24.520000457763672,20.420000076293945,24.334999084472656,25532400.0
2012-02-01,24.487499237060547,25.622499465942383,22.71500015258789,22.762500762939453,32237200.0
2012-03-01,23.322500228881836,23.774999618530273,21.05500030517578,22.100000381469727,24718000.0
2012-04-01,22.072500228881836,22.5,20.607500076293945,21.917499542236328,14922400.0
2012-05-01,22.0,22.024999618530273,18.375,19.155000686645508,20186800.0
2012-06-01,20.11750030517578,21.09000015258789,18.704999923706055,19.934999465942383,16131200.0
2012-07-01,19.829999923706055,20.592500686645508,18.834999084472656,20.209999084472656,11203600.0
2012-08-01,19.84749984741211,22.172500610351562,19.475000381469727,22.147499084472656,15410000.0
2012-09-01,22.149999618530273,24.600000381469727,22.037500381469727,24.229999542236328,17386800.0
2012-10-01,24.475000381469727,24.799999237060547,22.149999618530273,22.747499465942383,11934800.0
2012-11-01,22.802499771118164,23.565000534057617,21.5,22.457500457763672,11002800.0
2012-12-01,22.482500076293945,22.670000076293945,20.397499084472656,21.334999084472656,9589200.0
2013-01-01,21.719999313354492,21.895000457763672,20.489999771118164,21.03499984741211,12109200.0
2013-02-01,21.415000915527344,21.4950008392334,18.399999618530273,18.90999984741211,19406800.0
2013-03-01,18.97249984741211,19.739999771118164,18.512500762939453,19.252500534057617,11478400.0
2013-04-01,19.262500762939453,19.360000610351562,13.587499618530273,16.209999084472656,33900800.0
2013-05-01,15.727499961853027,16.209999084472656,13.5625,14.175000190734863,17373600.0
2013-06-01,14.357500076293945,14.975000381469727,10.322500228881836,11.157500267028809,14120800.0
2013-07-01,11.292499542236328,13.217499732971191,10.677499771118164,12.675000190734863,11736400.0
2013-08-01,12.757499694824219,14.699999809265137,11.914999961853027,14.092499732971191,16075600.0
2013-09-01,14.267499923706055,14.539999961853027,12.164999961853027,12.71500015258789,13831200.0
2013-10-01,12.21500015258789,13.27750015258789,11.462499618530273,12.539999961853027,11953200.0
2013-11-01,12.4399995803833,12.5,10.829999923706055,11.170000076293945,5258800.0
2013-12-01,10.882499694824219,11.46500015258789,10.022500038146973,10.3149995803833,6873200.0
2014-01-01,10.617500305175781,11.4375,10.449999809265137,10.984999656677246,6294400.0
2014-02-01,11.010000228881836,12.760000228881836,10.987500190734863,12.375,6292000.0
