date,open,high,low,close,volume
1985-01-01,152.22999572753906,164.72000122070312,149.17999267578125,149.17999267578125,0.0
1985-04-01,150.64999389648438,154.52000427246094,144.8300018310547,146.1199951171875,0.0
1985-07-01,146.44000244140625,146.61000061035156,131.5500030517578,132.1199951171875,0.0
1985-10-01,131.14999389648438,132.3800048828125,123.23999786376953,123.45999908447266,0.0
1986-01-01,123.70999908447266,125.20999908447266,113.44999694824219,117.91999816894531,0.0
1986-04-01,117.77999877929688,121.16000366210938,110.3499984741211,111.61000061035156,0.0
1986-07-01,111.26000213623047,112.08999633789062,104.91999816894531,106.73999786376953,0.0
1986-10-01,106.83000183105469,109.7699966430664,103.55000305175781,103.58000183105469,0.0
1987-01-01,104.44000244140625,104.4800033569336,96.80999755859375,97.11000061035156,0.0
1987-04-01,97.7300033569336,99.05999755859375,94.75,98.12999725341797,0.0
1987-07-01,98.02999877929688,101.73999786376953,95.97000122070312,98.56999969482422,0.0
1987-10-01,98.62999725341797,98.80999755859375,85.33000183105469,85.41999816894531,0.0
1988-01-01,85.66999816894531,92.04000091552734,85.33000183105469,88.30000305175781,0.0
1988-04-01,88.33000183105469,96.08999633789062,87.87000274658203,95.41000366210938,0.0
1988-07-01,95.94000244140625,99.61000061035156,95.06999969482422,97.69000244140625,0.0
1988-10-01,97.6500015258789,97.6500015258789,90.04000091552734,92.5,0.0
1989-01-01,92.5999984741211,98.52999877929688,91.7699966430664,98.13999938964844,0.0
1989-04-01,98.01000213623047,106.55999755859375,96.11000061035156,102.0199966430664,0.0
1989-07-01,101.20999908447266,104.19000244140625,96.76000213623047,98.47000122070312,0.0
1989-10-01,98.68000030517578,101.30999755859375,92.5999984741211,93.20999908447266,0.0
1990-01-01,93.19000244140625,94.72000122070312,91.26000213623047,93.69000244140625,0.0
1990-04-01,94.27999877929688,94.31999969482422,90.66000366210938,91.1500015258789,0.0
1990-07-01,90.75,90.8499984741211,84.73999786376953,86.0,0.0
