Date,close,source
1968-01-31,36.0,datahub_monthly
1968-02-29,36.0,datahub_monthly
1968-03-31,37.0,datahub_monthly
1968-04-30,38.0,datahub_monthly
1968-05-31,41.0,datahub_monthly
1968-06-30,41.0,datahub_monthly
1968-07-31,39.46,datahub_monthly
1968-08-31,39.0,datahub_monthly
1968-09-30,40.18,datahub_monthly
1968-10-31,39.0,datahub_monthly
1968-11-30,40.0,datahub_monthly
1968-12-31,41.0,datahub_monthly
1969-01-31,42.0,datahub_monthly
1969-02-28,43.0,datahub_monthly
1969-03-31,43.0,datahub_monthly
1969-04-30,43.0,datahub_monthly
1969-05-31,43.0,datahub_monthly
1969-06-30,41.0,datahub_monthly
1969-07-31,42.0,datahub_monthly
1969-08-31,41.0,datahub_monthly
1969-09-30,41.0,datahub_monthly
1969-10-31,40.0,datahub_monthly
1969-11-30,37.0,datahub_monthly
1969-12-31,35.0,datahub_monthly
1970-01-31,35.0,datahub_monthly
1970-02-28,35.0,datahub_monthly
1970-03-31,35.0,datahub_monthly
1970-04-30,36.0,datahub_monthly
1970-05-31,36.0,datahub_monthly
1970-06-30,35.0,datahub_monthly
1970-07-31,35.0,datahub_monthly
1970-08-31,35.0,datahub_monthly
1970-09-30,36.0,datahub_monthly
1970-10-31,38.0,datahub_monthly
1970-11-30,37.0,datahub_monthly
1970-12-31,37.0,datahub_monthly
1971-01-31,38.0,datahub_monthly
1971-02-28,39.0,datahub_monthly
1971-03-31,39.0,datahub_monthly
1971-04-30,39.0,datahub_monthly
1971-05-31,41.0,datahub_monthly
1971-06-30,40.0,datahub_monthly
1971-07-31,41.0,datahub_monthly
1971-08-31,43.0,datahub_monthly
1971-09-30,42.0,datahub_monthly
1971-10-31,43.0,datahub_monthly
1971-11-30,43.0,datahub_monthly
1971-12-31,43.0,datahub_monthly
1972-01-31,46.0,datahub_monthly
1972-02-29,48.0,datahub_monthly
1972-03-31,48.0,datahub_monthly
1972-04-30,49.0,datahub_monthly
1972-05-31,55.0,datahub_monthly
1972-06-30,62.0,datahub_monthly
1972-07-31,66.0,datahub_monthly
1972-08-31,67.0,datahub_monthly
1972-09-30,65.0,datahub_monthly
1972-10-31,65.0,datahub_monthly
1972-11-30,63.0,datahub_monthly
1972-12-31,64.0,datahub_monthly
1973-01-31,65.0,datahub_monthly
1973-02-28,74.0,datahub_monthly
1973-03-31,84.0,datahub_monthly
1973-04-30,91.0,datahub_monthly
1973-05-31,102.0,datahub_monthly
1973-06-30,120.0,datahub_monthly
1973-07-31,120.0,datahub_monthly
1973-08-31,107.0,datahub_monthly
1973-09-30,103.0,datahub_monthly
1973-10-31,100.0,datahub_monthly
1973-11-30,95.0,datahub_monthly
1973-12-31,107.0,datahub_monthly
1974-01-31,129.0,datahub_monthly
1974-02-28,150.0,datahub_monthly
1974-03-31,168.0,datahub_monthly
1974-04-30,172.0,datahub_monthly
1974-05-31,163.0,datahub_monthly
1974-06-30,154.0,datahub_monthly
1974-07-31,143.0,datahub_monthly
1974-08-31,155.0,datahub_monthly
1974-09-30,152.0,datahub_monthly
1974-10-31,159.0,datahub_monthly
1974-11-30,182.0,datahub_monthly
1974-12-31,184.0,datahub_monthly
1975-01-31,176.0,datahub_monthly
1975-02-28,179.6,datahub_monthly
1975-03-31,178.0,datahub_monthly
1975-04-30,170.0,datahub_monthly
1975-05-31,167.0,datahub_monthly
1975-06-30,164.0,datahub_monthly
1975-07-31,165.0,datahub_monthly
1975-08-31,163.0,datahub_monthly
1975-09-30,144.0,datahub_monthly
1975-10-31,143.0,datahub_monthly
1975-11-30,142.0,datahub_monthly
1975-12-31,139.0,datahub_monthly
1976-01-31,131.05,datahub_monthly
1976-02-29,131.0,datahub_monthly
1976-03-31,133.0,datahub_monthly
1976-04-30,128.0,datahub_monthly
1976-05-31,127.0,datahub_monthly
1976-06-30,126.0,datahub_monthly
1976-07-31,118.0,datahub_monthly
1976-08-31,110.0,datahub_monthly
1976-09-30,114.0,datahub_monthly
1976-10-31,116.0,datahub_monthly
1976-11-30,130.0,datahub_monthly
1976-12-31,134.0,datahub_monthly
1977-01-31,132.0,datahub_monthly
1977-02-28,136.0,datahub_monthly
1977-03-31,148.0,datahub_monthly
1977-04-30,149.0,datahub_monthly
1977-05-31,147.0,datahub_monthly
1977-06-30,141.0,datahub_monthly
1977-07-31,143.0,datahub_monthly
1977-08-31,145.0,datahub_monthly
1977-09-30,149.53,datahub_monthly
1977-10-31,159.0,datahub_monthly
1977-11-30,162.0,datahub_monthly
1977-12-31,160.0,datahub_monthly
1978-01-31,173.0,datahub_monthly
1978-02-28,178.0,datahub_monthly
1978-03-31,184.0,datahub_monthly
1978-04-30,175.0,datahub_monthly
1978-05-31,176.0,datahub_monthly
1978-06-30,184.0,datahub_monthly
1978-07-31,189.0,datahub_monthly
1978-08-31,206.0,datahub_monthly
1978-09-30,212.08,datahub_monthly
1978-10-31,227.0,datahub_monthly
1978-11-30,206.0,datahub_monthly
1978-12-31,208.0,datahub_monthly
1979-01-31,227.0,datahub_monthly
1979-02-28,246.0,datahub_monthly
1979-03-31,242.0,datahub_monthly
1979-04-30,239.11,datahub_monthly
1979-05-31,258.0,datahub_monthly
1979-06-30,279.0,datahub_monthly
1979-07-31,295.0,datahub_monthly
1979-08-31,301.0,datahub_monthly
1979-09-30,355.0,datahub_monthly
1979-10-31,392.0,datahub_monthly
1979-11-30,392.0,datahub_monthly
1979-12-31,455.0,datahub_monthly
1980-01-31,675.0,datahub_monthly
1980-02-29,665.0,datahub_monthly
1980-03-31,554.0,datahub_monthly
1980-04-30,517.0,datahub_monthly
1980-05-31,514.0,datahub_monthly
1980-06-30,601.0,datahub_monthly
1980-07-31,643.0,datahub_monthly
1980-08-31,627.0,datahub_monthly
1980-09-30,674.0,datahub_monthly
1980-10-31,661.0,datahub_monthly
1980-11-30,625.0,datahub_monthly
1980-12-31,538.0,datahub_monthly
1981-01-31,557.39,datahub_monthly
1981-02-28,500.0,datahub_monthly
1981-03-31,499.0,datahub_monthly
1981-04-30,496.0,datahub_monthly
